Source/Request	Already?	Know? (grade)	APP	POPULAR	Title	Artist	Other Artist	Papon Artist	Duplicate	Year	Decade	Genre	Crowd hit	Country?	Gig notes	MP3	Lyrics	Melody	Chords	Needs?	SIB DONE	PDF DONE	FORSCORE/TYPE
PRF 3rd only					Little Green Apples																		PRF
					Little Jeannie																		PRF
					Little Red Rooster	Sam Cooke																	RBF
PRF 4th only					Little Star																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Live and Let Die	Paul McCartney					70s												yes
			Y		Layla	Derek and the Dominoes (Eric Clapton)							X										CRF
					Livin' On A Prayer																		PRF
					Living For The City	Stevie Wonder																	RBF
					Living In America (from the Motion Picture ROCKY IV)	James Brown																	RBF
Tuzzy Braddy/Tuz Piano 6/7/16	X	A			Living on a prayer	Bon Jovi					80s				Brillant								yes
					Lollipop																		PRF
					Lonely Teardrops	Jackie Wilson																	RBF
05/14/16 Fleischman party			Y		Roll To Me	Del Amitri																X	LC
PRF 4th only					Long Cool Woman (In A Black Dress)																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Long December	Counting Crows					90s												yes
					Long Long Long	Beatles, the					60s-70s												BFB
			Y		Pour Some Sugar on Me	Def Leppard																	
					Long Tall Sally																		PRF
					Long Tall Sally	Beatles, the					60s-70s												BFB
					Longer																		PRF
					Lookin' Through The Windows	Jody Watley																	RBF
					Looking For A New Love	The Jackson 5																	RBF
PRF 3rd only					looking for a New Love																		PRF
PRF 4th only					Looks Like We Made It																		PRF
			Y		Smoke On The Water	Deep Purple																	CRF
			Y		Space Oddity	David Bowie																	CRF
					Losing Lisa	Ben Folds					00s												PV
					Losing Lisa  	Ben Folds					00s												Piano transcription
Tuzzy Braddy/Tuz Piano 6/7/16					Losing my Religion	REM					80s												yes
					Lost In Your Eyes																		PRF
05/14/16 Fleischman party	X		Y		Wagon Wheel	Darius Rucker	Old Crow Medicine Show						X										
					Love Child	Diana Ross & The Supremes																	RBF
PRF 3rd only					Love Grows (Where My Rosemary Goes)																		PRF
			Y		Girls Just Want To Have Fun	Cyndi Lauper				1983		Pop											PRF
PRF 3rd only					Love Is All Around																		PRF
					Love Is Like An Itching In My Heart	The Supremes																	RBF
PRF 4th only					Love Me																		
					Love Me Do	Beatles, the					60s-70s												BFB
			Y		Suite: Judy Blue Eyes	Crosby, Stills & Nash																	CRF
PRF 3rd only					Love of a Lifetime																		PRF
PRF 4th only					Love Potion Number 9 (from SMOKEY JOE'S CAFE)																		
					Love Rollercoaster	Ohio Players																	RBF
			Y		Susie-Q	Creedence Clearwater Revival																	CRF
PRF 3rd only					Love So Right																		PRF
					Love Takes Time	Mariah Carey																	RBF
					Love Takes Time																		PRF
			Y		Sunshine Of Your Love	Cream																	CRF
PRF 4th only					Love Theme From “St. Elmo's Fire” (from the Motion Picture ST. ELMO'S FIRE)																		PRF
PRF 4th only					Love Will Find A Way																		PRF
					Love Will Keep Us Together																		PRF
					Love You To	Beatles, the					60s-70s												BFB
					Love's Theme	Love Unlimited Orchestra																	RBF
					Lovely Rita	Beatles, the					60s-70s												BFB
					Lowdown	Boz Scaggs																	RBF
					Lowdown																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Lucky	Jason Mraz					10s												yes
					Lucy In The Sky With Diamonds	The Beatles																	CRF
					Lucy In The Sky With Diamonds	Beatles, the					60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					Maggie Mae	Rod Stewart					70s												yes
					Maggie Mae	Beatles, the					60s-70s												BFB
			Y		No Particular Place To Go	Chuck Berry																	RBF
																							
																							
			Y		I Want You To Want Me	Cheap Trick																	CRF
																							
					Magical Mystery Tour	Beatles, the					60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					Make You Feel My Love	Adele					90s												yes
					Makin' Plans	Miranda Lambert								X	Etzel (07/02/2016)								
					Mama Told Me (Not To Come)																		PRF
					Mama's Pearl	The Jackson 5																	RBF
					Mandy																		PRF
					Maneater																		PRF
					Maniac (from the Paramount Picture FLASHDANCE)																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Margaritaville	Jimmy Buffett					60-70												yes
PRF 4th only					Maria Maria																		
					Marry You 	Bruno Mars																	
					Martha My Dear	Beatles, the					60s-70s												BFB
					Massachusetts (The Lights Went Out)																		PRF
					Master Blaster	Stevie Wonder																	RBF
					Matchbox	Beatles, the					60s-70s												BFB
					Maxwell's Silver Hammer	Beatles, the					60s-70s												BFB
			Y		Surrender	Cheap Trick																	CRF
					Maybe Tomorrow	The Jackson 5																	RBF
PRF 3rd only			Y		It's All Coming Back to Me Now	Celine Dion																	PRF
					Me And Bobby McGee																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Me and Julio Down By the Schoolyard	Paul Simon					60-70												yes
					Mean Mr. Mustard	Beatles, the					60s-70s												BFB
05/14/16 Fleischman party	X		Y		Forget You	CeeLo Green				2010		Pop											
05/07/16 Irizarry wedding	X	A	Y		Have you ever seen the rain	CCR				1970		Classic Rock											LC
PRF 4th only					Mellow Yellow																		PRF
																							
					Mercy, Mercy Me (The Ecology)	Marvin Gaye																	RBF
					Mess	Ben Folds Five					90s												BF Scores
			Y		Memory (from CATS)	Cats																	PRF
PRF 4th only					Love The One You're With	Crosby, Stills and Nash																	PRF 4th (don't have)
			Y		One Fine Day	Carole King																	PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Michelle	Beatles, the					60s												yes
					Michelle	Beatles, the					60s-70s												BFB
					Mickey																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Middle, The	Jimmy Eat World					90s												yes
PRF 3rd only					Midnight Train to Georgia																		PRF
					Miracle																		RBF
					Misery	Beatles, the					60s-70s												BFB
					Miss You	The Rolling Stones																	CRF
			Y		You've Got A Friend	Carole King																	PRF
					Missing the War	Ben Folds Five					90s												BF Scores
					Missing the War  	Ben Folds Five					90s												Piano transcription
PRF 4th only					Missing You																		PRF
PRF 3rd only			Y		You're So Vain	Carly Simon																	PRF
					Mississippi Queen	Mountain																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16					Mmmbop	Hanson					90s												yes
			Y		Raindrops Keep Fallin' On My Head	Burt Bacharach	Dionne Warwick																PRF
					Moments To Remember																		PRF
PRF 3rd only					Monday, Monday																		PRF
					Money	The Byrds																	CRF
PRF 4th only			Y		Summer Of '69	Bryan Adams																	
					Money (That's What I Want)	Beatles, the					60s-70s												BFB
					Mony, Mony	Pink Floyd																	CRF
PRF 4th only					Mony, Mony																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					More	Usher					10s												yes
					More Love																		RBF
PRF 4th only					More Than Words																		
PRF 3rd only					Morning Train (Nine to Five)																		PRF
					Mother	Tommy James & The Shondells																	CRF
					Mother Nature's Son	Beatles, the					60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					Moves Like Jagger	Maroon 5					10s												yes
																							
			Y		Born in the USA	Bruce Springsteen				1984		Rock											
05/14/16 Fleischman party	X				Movin’ Out (Anthony’s Song)																		
Tuzzy Braddy/Tuz Piano 6/7/16					Mr Jones	Simon & Garfunkel					90s												yes
					Mr. Big Stuff																		RBF
PRF 3rd only					Mr. Custer																		PRF
05/14/16 Fleischman party	X				Mr. Jones								X										
					Mr. Lee																		PRF
					Mr. Moonlight	Beatles, the					60s-70s												BFB
					Mr. Spaceman	Billy Joel																	CRF
					Mrs. Brown You've Got A Lovely Daughter																		PRF
			Y		Glory Days 	Bruce Springsteen				1984		Classic rock											PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Mrs. Robinson	Paul Simon					60-70												yes
05/14/16 Fleischman party	X		Y		Hungry Heart	Bruce Springsteen				1980		Rock											
					My All																		RBF
					My Babe																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16					My Best Friend's Girl	Cars, the					80s												yes
PRF 4th only					My Boy Lollipop																		
					My Cherie Amour																		RBF
			Y		Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini	Brian Hyland																	PRF
					My Eyes Adored You																		PRF
					My Generation	The Who																	CRF
			Y		End Of The Road	Boyz II Men																	RBF
					My Girl (featured in the Motion Picture MY GIRL)																		PRF
			Y		On Bended Knee	Boyz II Men					90s	R&B											
					My Guy																		PRF
			Y		One Sweet Day	Boyz II Men	Mariah Carey																RBF
																							
Tuzzy Braddy/Tuz Piano 6/7/16					My Life	Billy Joel					70s												yes
PRF 3rd only			Y		Water Runs Dry	Boyz II Men																	PRF
PRF 3rd only					My Love																		PRF
					My Prerogative																		RBF
PRF 4th only					My Heart Will Go On (Love Theme From 'Titanic')	Celine Dion						Movie/TV Themes											PRF 4th (don't have)
			Y		I'll Make Love To You	Boys II Men																	RBF
					My World Is Empty Without You																		RBF
					Na Na Hey Hey Kiss Him Goodbye																		PRF
					Nadine (Is It You)																		RBF
PRF 3rd only					Neither One of Us (Wants to Be the First to Say Goodbye)																		PRF
PRF 4th only					Never Been To Spain																		PRF
					Never Can Say Goodbye																		RBF
					Never Can Say Goodbye																		PRF
					Never Knew Love Like This Before																		RBF
PRF 4th only					Never My Love																		
					New Kid In Town	Eagles																	CRF
			Y		Amanda	Boston				1986		Classic rock, Pop											CRF
PRF 3rd only	X	A	Y		Always	Bon Jovi					90s				Brillant								PRF
					Night																		RBF
					Night Fever (from SATURDAY NIGHT FEVER)																		PRF
			Y		Livin' On A Prayer	Bon Jovi							X										CRF
					Nightshift																		RBF
					Nightshift																		PRF
PRF 3rd only					Nikita																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Nineteen Seventy Nine	Smashing Pumpkins					90s												yes
PRF 3rd only			Y		Blue Velvet	Bobby Vinton				1963		Rock											PRF
					No Reply	Beatles, the					60s-70s												BFB
			Y		I Fought The Law	Bobby Fuller Four																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16					No Woman No Cry	Bob Marley					60-70												yes
					Nobody																		RBF
PRF 3rd only					Nobody Told Me																		PRF
			Y		Beyond The Sea	Bobby Darin				1959		Jazz											PRF
					Norwegian Wood (This Bird Has Flown)	Beatles, the					60s-70s												BFB
					Not A Second Time	Beatles, the					60s-70s												BFB
					Not the Same	Ben Folds					00s												PV
PRF 3rd only					Nothin' at All																		PRF
PRF 4th only					Nothing From Nothing																		
					Nothing's Gonna Stop Us Now																		PRF
					Nowhere Man	Beatles, the					60s-70s												BFB
					Nowhere To Run																		RBF
					Ob-La-Di, Ob-La-Da	Beatles, the					60s-70s												BFB
					Octopus's Garden	Beatles, the					60s-70s												BFB
PRF 4th only					Off The Wall																		PRF
PRF 3rd only					Oh Sheila																		PRF
05/07/16 Irizarry wedding					Oh Sherrie	Steve Perry					80s	NO											
PRF 4th only					Oh, Lonesome Me																		
05/14/16 Fleischman party	X		Y		Run Around	Blues Traveler																	
					Oh! Darling	Beatles, the					60s-70s												BFB
					Old Brown Shoe	Beatles, the					60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					Old Time Rock And Roll	Bob Seeger					70s				Etzel								yes
PRF 3rd only					On a Carousel																		PRF
					On And On																		RBF
		B	Y		Burning For You	Blue Oyster Cult				1981		Classic Rock											CRF
			Y		Don't Fear The Reaper	Blue Oyster Cult				1976		Classic rock											CRF
					On Broadway (featured in the Motion Picture A CHORUS LINE)																		PRF
PRF 4th only					On The Road Again																		PRF
PRF 4th only					On The Wings Of Love																		PRF
05/14/16 Fleischman party					Once In A Lifetime (Not sure if that is doable on the piano															LC			
					One After 909	Beatles, the					60s-70s												BFB
					One Angry Dwarf and 200 Solemn Faces	Ben Folds Five					90s												BF Scores
					One Angry Dwarf and 200 Solemn Faces  	Ben Folds Five					90s												Piano transcription
Tuzzy Braddy/Tuz Piano 6/7/16			Y		All the Small Things	Blink 182					90s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					One Headlight	Wallflowers, the					90s												yes
					One Less Bell To Answer																		RBF
					One Less Bell To Answer																		PRF
					One Mint Julep																		RBF
					One More Try																		PRF
PRF 3rd only					One Night in Bangkok																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16		C			One Of These Nights	Eagles, the					70s												yes
05/07/16 Irizarry wedding					One safe place	mark Cohn						NO				X	doc	in progress (ARO)	in progress (ARO)				
			Y	Y	A Matter Of Trust	Billy Joel																	BJC
					One Sweet Day																		PRF
					One Toke Over The Line																		PRF
					Only A Northern Song	Beatles, the					60s-70s												BFB
PRF 3rd only					Only in My Dreams																		PRF
PRF 3rd only					Only Love Can Break a Heart																		PRF
																							
Tuzzy Braddy/Tuz Piano 6/7/16					Only the Good Die Young	Billy Joel					60-70												yes
			Y		52nd Street	Billy Joel				1978		Rock music, Jazz fusion											BJC
																							
					Only The Lonely (Know The Way I Feel)																		PRF
			Y		A Room Of Our Own	Billy Joel				1982		Pop											BJC
Tuzzy Braddy/Tuz Piano 6/7/16					Only Wanna Be With You	Hootie and the Blowfish					90s												yes
PRF 4th only					Only Women Bleed																		PRF
					Ooo Baby Baby																		RBF
PRF 3rd only					Opposites Attract																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Ordinary People	John Legend					10s												yes
PRF 3rd only					Out of the Blue																		PRF
					Over My Head	Fleetwood Mac																	CRF
					Over The Mountain, Across The Sea																		RBF
					Over The Mountain, Across The Sea																		PRF
			Y		Ain't No Crime	Billy Joel				1973		Singer-songwriter, Pop											BJC
																							
			Y		All For Leyna	Billy Joel				1980		Pop											BJC
					P.S. I Love You	Beatles, the					60s-70s												BFB
					Pain In My Heart																		RBF
			Y		All You Wanna Do Is Dance	Billy Joel				1976		Pop											BJC
					Papa Was A Rollin' Stone																		PRF
					Papa's Got A Brand New Bag																		RBF
			Y		Allentown	Billy Joel				1982		Pop											CRF
					Paperback Writer	Beatles, the					60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					Paradise By the Dashboard Light	Meat Loaf					70s												yes
					Paranoid	Black Sabbath																	CRF
					Part Time Lover																		RBF
PRF 4th only					Party Doll																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Party Hard	Andrew WK					00s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					Party in the USA	Miley Cyrus					10s												yes
PRF 3rd only					Patches (I 'm Depending on You)																		PRF
			Y		An Innocent Man	Billy Joel				1983		Pop											BJC
			Y		Baby Grand	Billy Joel				1986		Adult contemporary											BJC
			Y		Big Man On Mulberry Street	Billy Joel				1986		Adult contemporary											BJC
					Penny Lane	Beatles, the					60s-70s												BFB
					People Got To Be Free																		PRF
PRF 4th only					Peppermint Twist																		PRF
					Philadelphia Freedom	Elton John																	CRF
					Philadelphia Freedom																		PRF
					Philosophy	Ben Folds Five					90s												BF Scores
					Philosophy 	Ben Folds Five					90s												Piano transcription
					Physical																		PRF
																							
Tuzzy Braddy/Tuz Piano 6/7/16					Piano Man	Billy Joel					70s												yes
																							
			Y		C'etait Toi (You Were The One)	Billy Joel				1980		Pop											BJC
					Pick Up The Pieces																		RBF
					Piece Of My Heart	Janis Joplin																	CRF
					Piggies	Beatles, the					60s-70s												BFB
					Pink Houses	John Cougar Mellencamp																	CRF
					Pipeline																		PRF
					Playboy																		RBF
					Please Accept My Love																		RBF
			Y		Honesty	Billy Joel				1978		Pop											CRF
					Please Mr. Postman																		PRF
					Please Mr. Postman	Beatles, the					60s-70s												BFB
PRF 3rd only					Please Please Me																		PRF
					Please Please Me	Beatles, the					60s-70s												BFB
PRF 3rd only					Poetry in Motion																		PRF
					Point Of Know Return	Kansas																	CRF
					Poison Ivy																		RBF
					Polythene Pam	Beatles, the					60s-70s												BFB
					Poor Side Of Town																		PRF
			Y		The Ballad Of Billy The Kid	Billy Joel				1973		Singer-songwriter, Pop											BJC
PRF 3rd only					Power of Love																		PRF
					Power To The People	John Lennon with The Plastic Ono Band																	CRF
					Precious And Few																		PRF
			Y	Y	And So It Goes	Billy Joel																	BJC
			Y		The Great Suburban Showdown	Billy Joel				1974		Singer-songwriter											BJC
Tuzzy Braddy/Tuz Piano 6/7/16					Pretty Woman	Roy Orbison					60s												yes
PRF 4th only					Private Eyes																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Proud Mary	CCR					60-70												yes
					Push	Matchbox 20					90s	90s nostalgia 											
					Put Your Hand In The Hand																		PRF
		B			R.O.C.K. In The U.S.A. (A Salute To 60's Rock)	John Cougar Mellencamp					80s				Brillant								CRF
					Radar Love	Golden Earring																	CRF
PRF 4th only					Rag Doll																		
					Rain	Beatles, the					60s-70s												BFB
					Raindrops																		RBF
					Raindrops																		PRF
			Y	Y	Angry Young Man	Billy Joel																	BJC
PRF 4th only					Rainy Days And Mondays																		PRF
			Y		The Mexican Connection	Billy Joel				1974		Singer-songwriter											BJC
Tuzzy Braddy/Tuz Piano 6/7/16					Ramblin' Man	Allman Bros					60-70												yes
					Reach Out And I'll Be There																		RBF
					Reach Out And Touch (Somebody's Hand)																		RBF
					Real Love																		RBF
PRF 3rd only					Real Real Real																		PRF
					Reason To Believe	Rod Stewart																	CRF
					Rebel 'Rouser																		PRF
					Rebel, Rebel	David Bowie																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16		C			Reelin' In The Years	Steely Dan					70s												yes
			Y	Y	Big Shot	Billy Joel																	BJC
PRF 4th only					Release Me																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Remedy	Jason Mraz					00s												yes
					Renegade	Styx																	CRF
			Y	Y	Captain Jack	Billy Joel																	BJC
PRF 4th only					Respect																		
					Respect Yourself																		RBF
PRF 4th only					Respect Yourself																		
PRF 4th only					Return To Me																		PRF
					Return To Sender (from GIRLS! GIRLS! GIRLS!)																		PRF
PRF 3rd only					Reunited																		PRF
					Revolution	The Beatles																	CRF
					Revolution	Beatles, the					60s-70s												BFB
			Y		Careless Talk	Billy Joel																	BJC
PRF 3rd only					Rhythm of My Heart																		PRF
					Ribbon In The Sky																		RBF
PRF 3rd only					Ride Like the Wind																		PRF
					Ridin' The Storm Out	REO Speedwagon																	CRF
PRF 3rd only					Right Here, Right Now																		PRF
					Rip It Up																		PRF
			Y		Christie Lee	Billy Joel																	BJC
					Rock & Roll - Part II (The Hey Song)	Gary Glitter																	CRF
			Y		Close To The Borderline	Billy Joel																	BJC
					Rock And Roll Hoochie Koo	Rick Derringer																	CRF
PRF 4th only					Rock With You																		
PRF 4th only					Rock Your Baby																		PRF
					Rocket 88																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Rocket Man	Elton John					70s												yes
			Y		Code Of Silence	Billy Joel																	BJC
					Rockin' Into The Night	.38 Special																	CRF
			Y		Don't Ask Me Why	Billy Joel																	BJC
					Rockin’ the Suburbs	Ben Folds					00s												PV
Tuzzy Braddy/Tuz Piano 6/7/16					Rocking in the Free World	Neil Young					60-70												yes
					Rocky Raccoon	Beatles, the					60s-70s												BFB
					Roll On Down The Highway	Bachman-Turner Overdrive																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16					Roll To Me	Del Amitri					90s												yes
			Y		Easy Money	Billy Joel																	BJC
Tuzzy Braddy/Tuz Piano 6/7/16					Rolling in the Deep	Adele					10s												yes
			Y		Everybody Has A Dream	Billy Joel																	BJC
			Y		Everybody Loves You Now	Billy Joel																	BJC
			Y		Falling Of The Rain	Billy Joel																	BJC
					Ruby Baby																		RBF
PRF 3rd only					Ruby, Don't Take Your Love to Town																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Rude	Magic					10s												yes
			Y		Get It Right The First Time	Billy Joel																	BJC
Tuzzy Braddy/Tuz Piano 6/7/16					Run Around	Blues Traveler					90s												yes
					Run For Your Life	Beatles, the					60s-70s												BFB
					Run To You	Bryan Adams																	CRF
					Run To You (from the film THE BODYGUARD)																		RBF
					Runaway																		RBF
					Runaway																		PRF
			Y		Getting Closer	Billy Joel																	BJC
					Sacrifice																		PRF
					Sad Eyes																		PRF
PRF 3rd only					Sad Songs (Say So Much)																		PRF
					Sail On																		RBF
					Sailing																		PRF
PRF 3rd only					San Francisco (Be Sure to Wear Some Flowers in Your Hair)																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Santa Monica	Everclear					90s												yes
Tuzzy Braddy/Tuz Piano 6/7/16					Satisfaction	Rolling Stones, the					60s												yes
					Save a Horse Ride a Cowboy 																		
			Y	Y	Goodnight Saigon	Billy Joel																	BJC
					Save The Best For Last																		PRF
			Y		Got To Begin Again	Billy Joel																	BJC
					Save The Last Dance For Me																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Save Tonight	Eagle Eye Cherry					90s												yes
					Save Your Heart For Me																		PRF
					Saving All My Love For You																		RBF
					Saving All My Love For You																		PRF
					Savoy Truffle	Beatles, the					60s-70s												BFB
																							
																							
					Say It Loud (I'm Black And I'm Proud)																		RBF
					Say You Love Me	Fleetwood Mac																	CRF
PRF 4th only					Say, Has Anybody Seen My Sweet Gypsy Rose																		PRF
			Y		Half A Mile Away	Billy Joel																	BJC
			Y		Honesty	Billy Joel																	BJC
			Y		I Don't Want To Be Alone	Billy Joel																	BJC
Must learn			Learn		Scotty Doesn't Know 																		
Tuzzy Braddy/Tuz Piano 6/7/16					Scream	Usher					10s												yes
					Sea Of Love (featured in the Motion Picture SEA OF LOVE)																		PRF
					Searchin'																		RBF
					Searchin'																		PRF
					Seasons In The Sun (Le Moribond)																		PRF
			Y		I Go To Extremes	Billy Joel																	BJC
PRF 4th only					Secretly																		PRF
					See Saw																		RBF
					See You Later, Alligator																		PRF
					Selfless, Cold and Composed	Ben Folds Five					90s												BF Scores
05/07/16 Irizarry wedding		A			Send Me On My Way	Rusted Root					90s	Pop											LC
					Send Me Some Lovin'																		RBF
PRF 4th only					Send Me The Pillow You Dream On																		PRF
					Send One Your Love																		RBF
					Separate Lives (Love Theme from WHITE NIGHTS)																		PRF
		B			Separate Ways	Journey					80s				Brillant								sib
			Y		I've Loved These Days	Billy Joel																	BJC
PRF 4th only					September																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Set Fire To the Rain	Adele					10s												yes
			LEARN		Sexual Healing																		RBF
					Sexy Sadie	Beatles, the					60s-70s												BFB
					Sgt. Pepper's Lonely Hearts Club Band	Beatles, the					60s-70s												BFB
PRF 3rd only					Shadow Dancing																		PRF
					Shake Me, Wake Me (When It's Over)																		RBF
					Shake You Down																		RBF
PRF 3rd only					Shake Your Love																		PRF
					Shakedown (from the Paramount Motion Picture BEVERLY HILLS COP II)	Bob Seger																	CRF
					Shakedown (from the Paramount Motion Picture BEVERLY HILLS COP II)																		PRF
			Y		I've Loved These Days	Billy Joel																	BJC
					Shattered	The Rolling Stones																	CRF
PRF 3rd only					Shattered Dreams																		PRF
PRF 3rd only					She Believes in Me																		PRF
					She Came In Through The Bathroom Window	The Beatles																	CRF
					She Came In Through The Bathroom Window	Beatles, the					60s-70s												BFB
					She Loves You	Beatles, the					60s-70s												BFB
Tuzzy Braddy/Tuz Piano 6/7/16					She Said	Collective Soul					90s												yes
					She Said She Said	Beatles, the					60s-70s												BFB
PRF 3rd only					She Works Hard for the Money																		PRF
					She's A Lady																		PRF
					She's A Woman	Beatles, the					60s-70s												BFB
					She's Always A Woman	Billy Joel																	CRF
Tuzzy Braddy/Tuz Piano 6/7/16					She's Always A Woman	Billy Joel					60-70												yes
			Y		If I Only Had The Words (To Tell You)	Billy Joel																	BJC
					She's Gone																		RBF
					She's Got A Way	Billy Joel																	CRF
			Y		It's Still Rock And Roll To Me	Billy Joel																	CRF
			Y		It's Still Rock And Roll To Me	Billy Joel																	BJC
					She's Leaving Home	Beatles, the					60s-70s												BFB
			Y		James	Billy Joel																	BJC
			Y	Y	Just The Way You Are	Billy Joel																	BJC
Tuzzy Braddy/Tuz Piano 6/7/16					She’s Got A Way	Billy Joel					70s												yes
PRF 4th only					Sheila																		PRF
					Shining Star (featured in the Epic Mini-Series JESUS)																		RBF
					Shining Star (featured in the Epic Mini-Series JESUS)																		PRF
					Shop Around																		RBF
					Shop Around																		PRF
PRF 4th only					Short Shorts																		PRF
					Shotgun																		RBF
			Y		Keeping The Faith	Billy Joel																	BJC
PRF 4th only					Shout (featured in the Walt Disney movie SISTER ACT)																		PRF
			Y		Last Of The Big Time Spenders	Billy Joel																	BJC
PRF 4th only					Show Me The Way																		PRF
					Sign Of The Gypsy Queen	April Wine																	CRF
					Sign Your Name																		RBF
			Y		Laura	Billy Joel																	BJC
PRF 4th only					Signed, Sealed, Delivered I'm Yours																		PRF
					Silhouettes																		PRF
PRF 3rd only					Simply Irresistible																		PRF
PRF 4th only					Since I Don't Have You																		
					Since I Met You Baby																		PRF
					Sincerely																		PRF
					Sing A Song																		RBF
PRF 4th only					Singing The Blues																		PRF
			Y		Leave A Tender Moment Alone	Billy Joel																	BJC
PRF 4th only					Sir Duke																		PRF
			FIND		Sister Christian 																		
			LEARN		Sittin' Up In My Room (from the Original Soundtrack Album WAITING TO EXHALE)																		RBF
					Sixteen Candles																		PRF
					Sixteen Reasons (Why I Love You)																		PRF
					Sixteen Tons																		PRF
			Y		Leningrad	Billy Joel																	BJC
					Sleepwalk																		PRF
					Slow Down	Beatles, the					60s-70s												BFB
					Smile A Little Smile For Me																		PRF
					Smiling Faces Sometimes																		RBF
PRF 4th only					Smoke From A Distant Fire																		
			Y		Los Angelenos	Billy Joel																	BJC
			Y		Los Angelenos	Billy Joel																	BJC
					Smokey Joe's Cafe																		RBF
			Y		Miami 2017 (Seen The Lights Go Out On Broadway)	Billy Joel																	BJC
					So Emotional																		RBF
					So Into You	Atlanta Rhythm Section																	CRF
					So You Want To Be A Rock And Roll Star	The Byrds																	CRF
PRF 4th only					Soldier Boy																		
PRF 3rd only					Soldier of Love																		PRF
			Y		Modern Woman	Billy Joel																	BJC
			Y	Y	Movin' Out (Anthony's Song)	Billy Joel																	BJC
			Y	Y	My Life	Billy Joel																	BJC
PRF 4th only					Somebody To Love																		
					Somebody's Watching Me																		RBF
					Someday																		PRF
					Someday (Esmeralda's Prayer) (from Walt Disney's THE HUNCHBACK OF NOTRE DAME)																		PRF
					Someday We'll Be Together																		RBF
					Someday We'll Be Together																		PRF
					Someone Saved My Life Tonight	Elton John																	CRF
					Something	The Beatles																	CRF
					Something																		PRF
					Something	Beatles, the					60s-70s												BFB
			Y	Y	New York State Of Mind	Billy Joel																	BJC
			Y		Nocturne	Billy Joel																	BJC
PRF 4th only					Somewhere In The Night																		
PRF 3rd only					Somewhere Out There																		PRF
					Son Of Shaft																		RBF
					Song for the Dumped	Ben Folds Five					90s												BF Scores
					Song For the Dumped 	Ben Folds Five					90s												Piano transcription
					Sorry Seems To Be The Hardest Word	Elton John																	CRF
					Soul Finger																		RBF
					Soul Limbo																		RBF
			Y	Y	Only The Good Die Young	Billy Joel																	BJC
PRF 4th only					Soul Man																		PRF
Tuzzy Braddy/Tuz Piano 6/7/16					Sounds Of Silence	Simon & Garfunkel					60s												yes
			Y		Prelude	Billy Joel																	BJC
PRF 4th only					Smooth Operator	Sade																	PRF 4th (don't have)
Tuzzy Braddy/Tuz Piano 6/7/16					Spiderwebs	No Doubt					90s												yes
					Spinning Wheel	Blood, Sweat & Tears																	CRF
					Spinning Wheel																		PRF
PRF 4th only					Splish Splash																		PRF
PRF 4th only					Spooky																		
Must learn 					Stacy's Mom 																		
PRF 4th only					Stagger Lee																		
					Stand Back	Stevie Nicks																	CRF
					Stand By Me (featured in the Motion Picture STAND BY ME)								X										RBF
			Y		Pressure	Billy Joel																	BJC
					Standing In The Shadows Of Love																		RBF
					Start Me Up	The Rolling Stones																	CRF
					Started with a Beer	Frankie Ballard								X	Etzel (07/02/2016)								
05/14/16 Fleischman party	X		Y		Piano Man	Billy Joel							X										
					Statesboro Blues	The Allman Brothers Band																	CRF
					Stay																		RBF
					Stay																		PRF
					Stay In My Corner																		RBF
Tuzzy Braddy/Tuz Piano 6/7/16					Stay With Me	Sam Smith					10s												yes
