Source/Request	Already?	Know? (grade)	APP	POPULAR	Title	Artist	Other Artist	Papon Artist	Duplicate	Year	Decade	Genre	Crowd hit	Country?	Gig notes	MP3	Lyrics	Melody	Chords	Needs?	SIB DONE	PDF DONE	FORSCORE/TYPE
			Y		Hello, Goodbye	The Beatles				1967		Psychedelic rock, Rock											CRF
05/14/16 Fleischman party	X		Y		Hey Jude**	The Beatles				1968													
			Y		Help!	The Beatles																	CRF
PRF 3rd only					Brother Louie																		PRF
PRF 3rd only			Y		I Want to Hold Your Hand	The Beatles																	PRF
					Buffalo Stance																		RBF
					Bug A Boo																		RBF
			Y		In My Life	The Beatles																	CRF
05/07/16 Irizarry wedding		A	Y		In My Life	The Beatles					60s				First dance								FB
					Bus Stop																		CRF
					But I Do (I Don't Know Why)																		RBF
					But It's Alright																		RBF
					Bye Bye Love																		PRF
			Y		Lady Madonna	The Beatles																	CRF
PRF 4th only					C'mon Marianne																		PRF
					Calendar Girl																		PRF
PRF 3rd only					California Dreamin'																		PRF
			Y		Money (That's What I Want)	The Beatles																	RBF
PRF 4th only					California Sun																		PRF
			Y		Paperback Writer	The Beatles																	CRF
					Call Me The Breeze																		CRF
			Y		Penny Lane	The Beatles																	CRF
			Y		Twist And Shout	The Beatles																	CRF
			Y		We Can Work It Out	The Beatles																	CRF
					Can't Let Go																		RBF
05/14/16 Fleischman party	X		Y		With A Little Help From My Friends	The Beatles							0										
PRF 3rd only					Can't We Try																		PRF
					Can't You See																		CRF
			Y		Barbara Ann	The Beach Boys				1965		Pop											PRF
PRF 4th only					Candida																		PRF
PRF 4th only			Y		Fun, Fun, Fun	The Beach Boys				1964		Surf rock, Rock, Pop											PRF
PRF 4th only			Y		I Get Around	The Beach Boys																	PRF
PRF 3rd only					Car Wash																		PRF
			Y		Kokomo	The Beach Boys																	PRF
PRF 3rd only					Careless Whisper																		PRF
			Y		Surfin' U.S.A.	The Beach Boys																	PRF
			Y		Wouldn't It Be Nice	The Beach Boys							X										CRF
					Carry On Wayward Son																		CRF
					Carry That Weight						60s-70s												BFB
